 case_id;province;city;group;infection_case;confirmed;latitude;longitude
1500006;Daejeon;from other city;TRUE;Shincheonji Church;2;-;-
1500007;Daejeon;from other city;TRUE;Seosan-si Laboratory;2;-;-
1500008;Daejeon;-;FALSE;overseas inflow;15;-;-
1500009;Daejeon;-;FALSE;contact with patient;15;-;-
1500010;Daejeon;-;FALSE;etc;15;-;-
1600001;Ulsan;from other city;TRUE;Shincheonji Church;16;-;-
1600002;Ulsan;-;FALSE;overseas inflow;25;-;-
1600003;Ulsan;-;FALSE;contact with patient;3;-;-
1600004;Ulsan;-;FALSE;etc;7;-;-
1700001;Sejong;Sejong;TRUE;Ministry of Oceans and Fisheries;31;36.504.713;127.265.172
1700002;Sejong;Sejong;TRUE;gym facility in Sejong;8;3.648.025;127.289
1700003;Sejong;from other city;TRUE;Shincheonji Church;1;-;-
1700004;Sejong;-;FALSE;overseas inflow;5;-;-
1700005;Sejong;-;FALSE;contact with patient;3;-;-
1700006;Sejong;-;FALSE;etc;1;-;-
2000001;Gyeonggi-do;Seongnam-si;TRUE;River of Grace Community Church;67;37.455.687;127.161.627
2000002;Gyeonggi-do;Bucheon-si;TRUE;Coupang Logistics Center;67;37.530.579;126.775.254
2000003;Gyeonggi-do;from other city;TRUE;Itaewon Clubs;59;-;-
2000004;Gyeonggi-do;from other city;TRUE;Richway;58;-;-
2000005;Gyeonggi-do;Uijeongbu-si;TRUE;Uijeongbu St. Mary’s Hospital;50;37.758.635;127.077.716
2000006;Gyeonggi-do;from other city;TRUE;Guro-gu Call Center;50;-;-
2000007;Gyeonggi-do;from other city;TRUE;Shincheonji Church;29;-;-
2000008;Gyeonggi-do;from other city;TRUE;Yangcheon Table Tennis Club;28;-;-
2000009;Gyeonggi-do;-;TRUE;SMR Newly Planted Churches Group;25;-;-
2000010;Gyeonggi-do;Seongnam-si;TRUE;Bundang Jesaeng Hospital;22;3.738.833;1.271.218
2000011;Gyeonggi-do;Anyang-si;TRUE;Anyang Gunpo Pastors Group;22;37.381.784;12.693.615
2000012;Gyeonggi-do;Suwon-si;TRUE;Lotte Confectionery logistics center;15;37.287.356;127.013.827
2000013;Gyeonggi-do;Anyang-si;TRUE;Lord Glory Church;17;37.403.722;126.954.939
2000014;Gyeonggi-do;Suwon-si;TRUE;Suwon Saeng Myeong Saem Church;10;372.376;1.270.517
2000015;Gyeonggi-do;from other city;TRUE;Korea Campus Crusade of Christ;7;-;-
2000016;Gyeonggi-do;from other city;TRUE;Geumcheon-gu rice milling machine manufacture;6;-;-
2000017;Gyeonggi-do;from other city;TRUE;Wangsung Church;6;-;-
2000018;Gyeonggi-do;from other city;TRUE;Seoul City Hall Station safety worker;5;-;-
2000019;Gyeonggi-do;Seongnam-si;TRUE;Seongnam neighbors gathering;5;-;-
